no;abbr;long
933;GFWL;Games For Windows Live
934;GFY;Good For You
935;GG;Good Game
936;GG;Brother (Mandarin Chinese txt msgs)
937;GGA;Good Game All
938;GGBB;Good Game Bye Bye
939;GGE1;Good game, everyone  
940;GGG;Good, Giving, and Game (in bed)
941;GGMSOT;Gotta get me some of that
942;GGN;Gotta Go Now
943;GGNORE;Good Game No Rematch
944;GGOH;Gotta Get Outta Here
945;GGP;Got to go pee
946;GGU2;Good game, you too
947;GH;Guitar Hero
948;GH;Good hand  
949;GHB;Gamma Hydroxybutyrate (drug)
950;GHD;Good Hair Day
951;GIAR;Give it a rest
952;GIC;Gift in crib  
953;GIGO;Garbage in, garbage out
954;GIRL;Guy in real life
955;GIWIST;Gee, I Wish I’d Said That.
956;GIY;Google It Yourself
957;GIYF;Google Is Your Friend
958;GJ;Good Job
959;GJOAC;Go Jump Off A Cliff
960;GJWHF;Girls Just Wanna Have Fun
961;GK;Good Kid
962;GKY;Go Kill Yourself
963;GL;Good luck
964;GL HF;Good Luck, Have Fun
965;GL/HF;Good luck, have fun  
966;GL2U;Good luck to you  
967;GLA;Good Luck All
968;GLAG;Giggling Like A Girl
969;GLE;Good luck everyone  
970;GLE1;Good luck everyone  
971;GLHF ; Good Luck, Have Fun
972;GLNG;Good luck next game  
973;GLOTR;Good Luck On The Rebuild
974;GLTA;Good Luck to All
975;GLTY;Good Luck To You
976;GLU;Guys/Girsl Like Us
977;GLWS;Good Luck With Sale
978;GLWT;Good Luck With That
979;GMA;Good Morning, America
980;GMAB;Give Me A Break
981;GMBA;Giggling my butt off
982;GMT;Greenwich Mean Time
983;GMTA;Great Minds Think Alike
984;GMV;Got My Vote
985;GMY;Good Man Yourself
986;GN;Good Night
987;GNA;Good night all
988;GND;Girl Next Door
989;GNE;Good Night and Everything
990;GNE1;Good night everyone
991;GNFB;Good Night Facebook
992;GNIGHT;Good night
993;GNITE;Good night
994;GNSD;Good Night, Sweet Dreams
995;GOAT;Greatest Of All Time
996;GOI;Get over it
997;GOL;Giggling out loud
998;GOMB;Get off my back
999;GOMER;Get Out of My Emergency Room, unwelcome patient
1000;GOMF;Get Outta My Face
1001;GOML;Get On My Level
1002;GOOMF;Get Out Of My Face
1003;GOOML;Get Out Of My Life
1004;GOP;Grand Old Party
1005;GP;General Principle
1006;GPA;Grade-Point Average
1008;GPL;General Public License
1009;GPOY;Gratuitous Picture Of Yourself
1010;GPOY;Gratuitous picture of yourself
1011;GPOYW;Gratuitous Picture Of Yourself Wednesday
1012;GPRS;General Packet Radio Services
1013;GPS;Global Positioning System
1014;GPU;Graphics Processing Unit
1015;GR;Gotta Run
1016;GR&D;Grinning, running and ducking
1017;GR8;Great
1018;GRATZ;Congratulations
1019;GRL;Girl
1020;GRWG;Get right with God
1021;GS;Good shot
1022;GSD;Getting Stuff Done
1023;GSM;Global System for Mobile communications
1024;GSOH;Good Sense Of Humor
1025;GSR;Gun Shot Residue
1026;GSTQ;God Save The Queen
1027;GSW;Gun Shot Wound
1028;GT;Good try
1029;GTB;Go To Bed
1030;GTBB;Good To Be Back
1031;GTBOSH;Glad To Be Of Some Help
1032;GTD;Getting Things Done
1033;GTFO;Get the *freak* out
1034;GTFOH;Get the *freak* outta here
1035;GTG;Got To Go
1036;GTGG;Got To Get Going
1037;GTH;Go To Hell
1038;GTHBA;Good Times Had By All
1039;GTHO;Get The Hell Out
1040;GTK;Good To Know
1041;GTM;Giggling To Myself
1042;GTO;Gran Turismo Omologato
1043;GTRM;Going To Read Mail
1044;GTSY;Good To See You
1045;GTTS;Got The T-Shirt
1046;GTW;Got To Work
1047;GU;Grow Up
1048;GUCCI;Good
1049;GUD;Good
1050;GUTI;Get Used To It
1051;GW;Good Work
1052;GWAS;Game Was A Success
1053;GWC;Guy With Camera
1054;GWG;Girl With Glasses
1055;GWHTLC;Glad we had this little chat
1056;GWI;Get With It
1057;GWK;Game Winning Kill
1058;GWP;Gift With Purchase
1059;GWR;Guinness World Records
1060;GWS;Get Well Soon
1061;GWTF;Go With The Flow
1062;GWTP;Get With The Program
1063;GYALDEM;Group of girls
1064;GYC;Get Your Coat
1065;GYFS;Get Your Facts Straight
1066;GYO;Get Your Own
1067;GYT;Get Yourself Tested
1069;H&K;Hugs & kisses
1070;H2CUS;Hope to see you soon
1071;H8;Hate
1072;H8TTU;Hate to be you
1073;HAG1;Have a good one
1074;HAGD;Have A Good Day
1075;HAGE;Have A Good Evening
1076;HAGL;Have A Good Life
1077;HAGN;Have A Good Night
1078;HAGO;Have A Good One
1079;HAGS;Have A Great Summer
1080;HAGT;Have A Great Time
1081;HAISTK;How Am I Supposed To Know?
1082;HAK;Hug and kiss
1083;HALP;Help (Discord)
1084;HAND;Have A Nice Day
1085;HAU;How about you?
1086;HAWT;hot
1087;HAY;How Are You
1088;HAYD;How Are You Doing?
1089;HAYT;How Are You Today?
1090;HB;Hurry back
1091;HBD;Happy Birthday
1092;H-BDAY;Happy Birthday
1093;HBK;Heart Break Kid
1094;HBN;How About Now
1095;HBO;Home Box Office
1096;HBP;Half-Blood Prince (Harry Potter)
1097;HBT;How ‘Bout That
1098;HBTU;Happy Birthday To You
1099;HBTY;Happy Birthday To You
1100;HBU;How about you?
1101;HBY;How About You?
1102;HC;Holy Cow
1103;HCDAJFU;He Could Do A Job For Us
1104;HCIT;How Cool Is That?
1105;HD;High-Definition
1106;HDD;Hard Disk Drive
1107;HDMI;High Definition Multimedia Interface
1108;HDTH;How Did That Happen?
1109;HDTV;High Definition Television
1110;HDY;How Dare You
1111;HDYD;How Do You Do?
1112;HDYDT;How Did You Do That?
1113;HDYK;How Do/Did You Know?
1114;HE;Happy Ending High Explosives
1115;HEA;Happily Ever After
1116;HENRY;High Earner, Not Rich Yet
1117;HF;Have Fun
1118;HFAC;Holy  fucking animal crackers
1119;H-FDAY;Happy Father’s Day
1120;HFFA;Hot From Far Away
1121;HFGL;Have Fun, Good Luck
1122;HFY;Here For You Happy for You
1123;HG;Holy Grail
1124;HGH;Haters Gonna Hate
1125;HGI;How Goes It?
1126;HGL;Happy Go Lucky
1127;HGTV;Home and Garden Television
1128;HGV;Heavy Goods Vehicle
1129;HH;Holding Hands
1130;HHIS;Head hanging in shame
1131;HHOJ;Ha-Ha, Only Joking
1132;HHOK;Ha-Ha, Only Kidding
1133;HHVF;Ha-Ha, Very Funny
1134;HHWW;Holding Hands While Walking
1135;HIFW;How I felt when 
1136;HIG;How’s It Going?
1137;HIIK;Hell If I Know
1138;HIMYM;How I Met Your Mother (TV show)
1139;HIV;Human Immunodeficiency Virus
1140;HIWTH;Hate It When That Happens
1141;HJNTIY;He’s Just Not That Into You
1142;HK;Hong Kong Hostile Kids
1143;HL;Half Life (game)
1144;HL;Half Life  
1145;HLA;Hola / hello (Spanish SMS)
1146;HLAS;Hook, Line And Sinker
1147;HMB;reply
1148;H-MDAY;Happy Mother’s Day
1149;HMI;Human Machine Interface
1150;HMIHY;How May I Help You?
1151;HML;Hate My Life
1152;HMP;Help Me, Please
1153;HMS;Her Majesty’s Ship (UK)
1154;HMU;Hit Me Up
1155;HMUL;Hit Me Up Later
1156;HMV;His Master’s Voice
1157;HNG;Horny Net Geek
1158;HNL;(w)Hole ‘nother level
1159;HNOS;Home Network Operating System
1160;HNR;Hit ‘N’ Run
1161;HNY;Happy New Year
1162;HO;Hold On Head Office
1163;HOA;Home Owners Association
1164;HOAS;Hold On A Second
1165;HOAY;How Old Are You?
1166;HOF;Hall Of Fame Heavy on Flag
1167;HOG;Harley Owner Group
1168;HOH;Head Over Heels  Hard O fucking
1169;HOLLAND;Hope Our Love Lasts And Never Dies
1170;HOV;High Occupancy Vehicle
1171;HOWDY;How Do You Do?
1172;HP;Hit points / Health points  
1173;HQ;High Quality
1174;HR;Human Resources
1175;HRC;Human Rights Campaign
1176;HRH;His/Her Royal Highness
1177;HRU;How are you?
1178;HSH;Home Sweet Home
1179;HSIK;How Should I Know?
1180;HSIT;How Sad Is That
1181;HSL;Hue, Saturation, Lightness
1182;HSM;High School Musical
1183;HSP;Highly Sensitive Person
1184;HSPDA;High Speed Packet Data Access
1185;HST;High Speed Train
1186;HSV2;Herpes Simplex Virus 2
1187;HT or H/T ; Hat Tip or Heard Through
1188;HTBT;Had To Be There
1189;HTC;Hit The Cell
1190;HTE;Hard To Explain
1191;HTG;Hard To Get
1192;HTH;Hope this helps
1193;HTHFYS;Hope To Hear From You Soon
1194;HTM;Hand To Mouth
1195;HTSYS;Hope To See You Soon
1196;HTTR;Hail To The Redskins
1197;HU;Hollywood Undead (Band)
1198;HUA;Heard Understood Acknowledged
1199;HUB;Head up butt
1200;HUYA;Head up your *butt*
1201;HV;Have
1202;HVAC;Heating, Ventilating, Air Conditioning
1203;HVD;Happy Valentine’s Day
1204;HVH;Heroic Violet Hold  
1205;HW;Homework
1206;HWB;Hottie With Body
1207;HWGA;Here We Go Again
1208;HWP;Height Weight Proportional
1209;HWSNBN;He Who Shall Not Be Named
1210;HWU;Hey, What’s Up?
1211;HWYD;How Was Your Day?
1212;HYB;How You Been?
1213;HYD;How Ya Doing?
1214;HYFB;Hope You Feel Better
1215;HYFR;Hell yeah, * fucking* right!
1216;HYG;Here You Go
1217;HYH;Have You Heard Hold Your Horses
1218;HYIP;High Yield Investment Program
1219;HYP;Harvard, Yale, Princeton
1220;HYS;Have Your Say
1221;HYU;Hit You Up
1222;I2;I too (me too)
1223;IA;I Agree
1224;IA8;I already ate
1225;IAAA;I am an accountant
1226;IAAD;I am a doctor
1227;IAAL;I am a lawyer
1228;IAB;I Am Bored
1229;IABW;In A Bad Way
1230;IAC;In Any Case
1231;IAD;It All Depends
1232;IAE;In Any Event
1233;IAG;It’s All Good
1234;IAK;I Already Know
1235;IAL;I Ain’t Laughing I Actually Laughed
1236;IALTO;I Always Love That One
1237;IAMA;I Am Mildly Amused
1238;IANAC;I am not a crook
1239;IANAD;I Am Not A Doctor
1240;IANAL;I am not a lawyer
1241;IAO;I am out (of here)
1242;IAS;In A Second
1243;IAU;I Adore You
1244;IAW;In Accordance With I Agree With
1245;IAWTC;I Agree With That/This Comment
1246;IAWTCSM;I Agree With This Comment So Much
1247;IAWTP;I Agree With This Post
1248;IAY;I Adore You
1249;IB;I’m Back
1250;IB2D;I Beg To Differ
1251;IB4TL;In Before The Lock
1252;IBAN;International Bank Account Number
1253;IBB;I’ll Be Back
1254;IBK;Idiot Behind Keyboard
1255;IBL;In Before Lock
1256;IBM;International Business Machines
1257;IBMTS;I’ve Been   To Say
1258;IBS;Irritable Bowel Syndrome
1259;IBTD;In Before The Delete I Beg To Differ
1260;IBTL;In Before the Lock
1261;IBUWU;I’m Breaking Up With You
1262;IBW;I’ll Be Waiting
1263;IBYP;I Beg Your Pardon
1264;IC;I see
1265;ICAM;I couldn’t agree more
1266;ICAY;I Care About You
1267;ICB;I Can’t Believe…
1268;ICBB;I Can’t Be Bothered
1269;ICBI;I Can’t Believe It
1270;ICBINB;I Can’t Believe It’s Not Butter
1271;ICBM;Intercontinental Ballistic Missile
1272;ICBSST;I Can’t Believe She Said That
1273;ICBW;It Could Be Worse
1274;ICC;Ice Crown Citadel ( )
1275;ICCL;I Couldn’t Care Less
1276;ICEDI;I can’t even discuss it
1277;ICFILWU;I could fall in love with you
1278;ICR;I Can’t Remember
1279;ICSL;I Couldn’t/Can’t Stop Laughing
1280;ICSTAY;I Can’t Stop Thinking About You
1281;ICT;Information and Communication Technology
1282;ICU;Intensive Care Unit I See You
1283;ICW;In Connection With I Can’t Wait
1284;ICYDK;In Case You Didn’t Know
1285;ICYMI;In Case You Missed It
1286;IDBI;I Don’t Believe It
1287;IDBY;I Don’t Believe You
1288;IDC;I Don’t Care
1289;IDEC;I Don’t Even Care
1290;IDEK;I Don’t Even Know
1291;IDEKY;I Don’t Even Know You
1292;IDEWTK;I Don’t Even Want To Know
1293;IDFG;I Don’t Feel Good
1294;IDFLI;I Don’t Feel Like It
1295;IDGAD;I Don’t Give A Damn
1296;IDGAF;I don’t give a *freak*
1297;IDGI;I Don’t Get It
1298;IDHAC;I Don’t Have A Clue
1299;IDHTT;I Don’t Have The Time
1300;IDI;I Doubt It
1301;IDJ;I Don’t Judge
1302;IDK;I don’t know
1303;IDKE;I Don’t Know Either
1304;IDKW;I Don’t Know Why
1305;IDKWTD;I Don’t Know What To Do
1306;IDKWYM;I Don’t Know What You Mean
1307;IDKY;I Don’t Know Why
1308;IDL;I Don’t Like …
1309;IDLI;I Don’t Like It
1310;IDLT;I Don’t Like That
1311;IDLY;I Don’t Love/Like You
1312;IDM;It Doesn’t Matter 
1313;IDNK;I Do Not Know
1314;IDR;I Don’t Remember
1315;IDRC;I Don’t Really Care
1316;IDRK;I Don’t Really Know
1317;IDST;If Destroyed, Still True
1318;IDT;I Don’t Think
1319;IDTS;I Don’t Think So
1320;IDU;I Don’t Understand
1321;IDUNNO;I Don’t Know
1322;IDW;I Don’t Want
1323;IDWK;I Don’t Wanna Know
1324;IDWT;I Don’t Want To
1325;IDWTAI;I Don’t Wanna Talk About It
1326;IDWTK;I Don’t Want to Know
1327;IE;Id Est (that is) Internet Explorer
1328;IED;Improvised Explosive Device
1329;IEP;Individualized Education Program
1330;IFM;In Fond Memory
1331;IFYP;I feel your pain
1332;IG;Instagram
1333;IG2R;I got to run
1334;IGHT;I got high tonight
1335;IGI;I Get It
1336;IGM;I Got Mine
1337;IGMC;I’ll Get My Coat
1338;IGN;I (I’ve) got nothing
1339;IGNB;I’m Going Now, Bye
1340;IGNTS;I’ve Got Nothing To Say
1341;IGP;I got to (go) pee
1342;IGS;I Guess So
1343;IGTG;I Got To Go
1344;IGU;I Give Up
1345;IGWT;In God We Trust
1346;IGY;I Get You
1347;IGYB;I’ve Got Your Back
1348;IH8U;I Hate You
1349;IHAC;I Have A Customer…
1350;IHDK;I Honestly Don’t Know
1351;IHM;I Hate Mondays
1352;IHML;I Hate My Life
1353;IHNC;I Have No Clue
1354;IHNI;I Have No Idea
1355;IHO;In Honor Of
1356;IHOP;International House of Pancakes
1357;IHP;I Hate People
1358;IHS;I Hope So
1359;IHT;I Hate This
1360;IHY;I Hate You
1361;IHYDM;I Hope You Don’t Mind
1362;IHYSM;I Hate You So Much
1363;IIB;Ignorance Is Bliss
1364;IIFYM;If It Fits Your Macros
1365;IIH;If I’m Honest
1366;IIIO;Intel inside, idiot outside
1367;IIL;I’m In Love
1368;IINM;If I’m Not Mistaken
1369;IIR;Idiot In Room
1370;IIRC;If I Remember Correctly
1371;IIS;Internet Information Services
1372;IITUWUTMAS;If I Tell You Will You Tell Me A Secret?
1373;IITWI;In It To Win It
1374;IITYWIMIWHTKY;If I Tell You What It Means I Will Have to Kill You
1375;IITYWTMWYBMAD;If I Tell You What This Means Will You Buy Me a Drink?
1376;IITYWTMWYKM;If I Tell You What This Means Will You Kiss Me?
1377;IITYWYBMAD;If I Tell You Will You Buy Me A Drink
1378;IIUC;If I Understand Correctly
1379;IIWII;It Is What It Is
1380;IIWY;If I Were You
1381;IJ;I’m Joking
1382;IJAF;It’s Just A Fact
1383;IJDK;I Just Don’t Know
1384;IJG;I Just Giggled
1385;IJK;I’m Just kidding
1386;IJL;I Just Laughed
1387;IJS;I’m Just Saying
1388;IJWTK;I Just Want To Know
1389;IJWTS;I Just Want To Say
1390;IK;I Know
1391;IKH;I Know, Huh?
1392;IKHYF;I Know How You Feel
1393;IKLY;I Kinda Like You
1394;IKM;I Know Man
1395;IKMTY;I Know More Than You
1396;IKN;I Know Not
1397;IKR;I Know, Right
1398;IKT;I Knew That
1399;IKTF;I Know The  fucking
1400;IKTR;I Know That’s Right
1401;IKWUM;I Know What You Mean
1402;IKWYDLS;I Know What You Did Last Summer
1403;IKWYL;I Know Where You Live
1404;IKWYM;I Know What You Mean
1405;IKY;I Know You
1406;IKYP;I’ll Keep You Posted
1407;IL;In Love
1408;ILBL8;I’ll be late
1409;ILD;Ich Liebe Dich (I Love You)
1410;ILH;I Love Him/Her
1411;ILI;I Love It
1412;ILM;I lige m
1413;ILML;I Love My Life
1414;ILMO;In Loving Memory Of
1415;ILNY;I Love New York
1416;ILS;Inflated Lat Syndrome
1417;ILT;I Like That
1418;ILU;I love you
1419;ILUM;I love you man
1420;ILY; I love you
1421;ILY2;I Love You Too
1422;ILYA;I Love You All
1423;ILYAAF;I Love You As A Friend
1424;ILYAM;I Love You As a Mate
1425;ILYB;I Love You Both
1426;ILYF;I’ll Love You Forever
1427;ILYG;I Love You Guys/Girls
1428;ILYK;I’ll Let You Know
1429;ILYL;I Love You Lots
1430;ILYLAS;I Love You Like A Sister
1431;ILYLT;I Love You Long Time
1432;ILYM;I Love You More
1433;ILYSDM;I Love You So Damn Much
1434;ILYSM;I love you so much
1435;ILYSMB;I Love You So Much Baby
1436;ILYSMM;I Love You So Much More
1437;ILYT;I Love You Too
1438;ILYTB;I Love You To Bits
1439;ILYVM;I Love You Very Much
1440;ILYWAMH;I Love You With All My Heart
1441;IM;Instant Message
1442;IMAHO;In My Absolutely Honest Opinion
1443;IMAO;In My Arrogant Opinion
1444;IMAO;In my arrogant opinion
1445;IMAP;Internet Message Access Protocol
1446;IMBO;In My Biased Opinion
1447;IMCO;In My Considered Opinion
1448;IMD;In My Defence
1449;IME;In My Experience
1450;IMEO;In My Educated Opinion
1451;IMF;International Monetary Fund
1452;IMH;In My Head
1453;IMHO; In my humble opinion
1454;IMK;In My Knowledge
1455;ImL;I love you
1456;IMMAO;In My Most Arrogant Opinion
1457;IMMD;It Made My Day
1458;IMML;It Made Me Laugh
1459;IMNSHO;In My Not So Humble Opinion
1460;IMO; In my opinion
1461;IMOO;In My Own Opinion
1462;IMP;It’s My Pleasure
1463;IMPO;In My Personal Opinion
1464;IMR;I Mean, Really
1465;IMS;I am sorry
1466;IMSB;I am so bored
1467;IMSMR;If Memory Serves Me Right
1468;IMTM;I am the man
1469;IMU;I Miss You
1470;IMUSM;I Miss You So Much
1471;IMVU;Instant Messaging Virtual Universe
1472;IMWTK;Inquiring Minds Want To Know
1473;IMY;I Miss You
1474;IMYA;I Miss You Already
1475;IMYM;I Miss You More
1476;IMYSM;I Miss You So Much
1477;IMYT;I Miss You Too
1478;INAH;I Need A Hug
1479;INAL;I’m not a lawyer
1480;INB;I’m Not Bothered
1481;INBD;It’s No Big Deal
1482;INC;   incoming   
1483;INCYDK;In Case You Didn’t Know
1484;INPO;In No Particular Order
1485;INRS;It’s Not Rocket Science
1486;INS;I’m Not Sure
1487;Inspoo;Inspiration
1488;INTK;I Need To Know
1490;INV;   Invite 
1491;INVU;I Envy You
1492;INWLY;I Never Wanna Lose You
1493;INY;I Need You
1494;IOAB;I’m On A Boat
1495;IOC;International Olympic Committee
1496;IOH;I’m Outta Here
1497;IOI;Indication of Interest I’m Over It
1498;IOIC;If Only I Could
1499;IOKIYAR;It’s Okay If You’re A Republican
1500;IOM;Isle Of Man
1501;IOMH;In over my head
1502;IOMW;I’m On My Way
1503;ION;In Other News
1504;IOU;I Owe You
1505;IOW;In Other Words
1506;IOYK;If Only You Knew
1507;IP;Internet Protocol Intellectual Property
1508;IPA;India Pale Ale Internet Protocol Address
1509;IPC;Ignore Post Count
1510;IPO;Initial Public O fucking
1511;IQ;Intelligence Quotient
1512;IR;Infrared Injured Reserve
1513;IRA;Irish Republican Army
1514;IRAH;Insert Relevant Acronym Here
1515;IRC;Internet Relay Chat
1516;IRDC;I Really Don’t Care
1517;IRDK;I Really Don’t Know
1518;IRL;In Real Life
1519;IRLY;I Really Like You
1520;IRMC;I Rest My Case
1521;IRS;Internal Revenue Service
1522;ISB;I’m So Bored
1523;ISBN;International Standard Book Number
1524;ISDK;I Simply Don’t Know
1525;ISDN;Integrated Services Digital Network
1526;ISHK;I Should Have Known
1527;ISLY;I Still Love You
1528;ISO;In Search Of
1529;ISP;Internet Service Provider
1530;ISTATOY;I Saw This And Thought Of You
1531;ISTG;I Swear To God
1532;ISTM;It Seems To Me
1533;ISTR;I Seem To Recall
1534;ISWYDT;I See What You Did There
1535;ISWYM;I See What You Mean
1536;IT;Information Technology
1537;ITA;I Totally Agree
1538;ITAI;I’ll Think About It
1539;ITALY;I Trust And Love You
1540;ITAM;It’s The Accounting, Man 
1541;ITC;In This Channel In That Case
1542;ITF;In The Future
1543;ITG;In The Groove
1544;ITIAILWY;I Think I Am In Love With You
1545;ITIKY;I Think I Know You
1546;ITILU;I Think I Love You
1547;ITILY;I Think I Love You
1548;ITK;In The Know
1549;ITM;In the Mouth
1550;ITMA;It’s That Man Again
1551;ITN;I Think Not
1552;ITO;In Terms Of
1553;ITOY;I’m Thinking Of You
1554;ITP;Inside The Perimeter
1555;ITS;I Think/Thought So
1556;ITSO;In The Style Of
1557;ITT;In This Thread
1558;ITTET;In These Tough Economic Times
1559;ITV;Independent TV (UK)
1560;ITWYM;Is That What You Mean?
1561;ITYF;I Think You’ll Find
1562;ITYK;I thought you knew
1563;ITYL;I’ll Tell You Later
1564;ITYM;I Think You Mean
1565;ITYS;I Told You So
1566;IU2U ; It’s Up To You
1567;IUSS;If you say so
1568;IVF;In Vitro Fertilization
1569;IWALU;I will always love you
1570;IWALY;I Will Always Love You
1571;IWAWO;I want a way out
1572;IWBB;I Will Be Back
1573;IWC;Internet Wrestling Community
1574;IWHI;I Would Hit It
1575;IWIAM;Idiot wrapped in a moron
1576;IWID;It’s What I Do
1577;IWIK;I Wish I Knew
1578;IWIWT;I Wish I Were There
1579;IWM;It Wasn’t Me
1580;IWOOT;I Want One Of Those
1581;IWSN;I want sex now
1582;IWTD;I Want To Die
1583;IWY;I Want You
1584;IYAM;If You Ask Me
1585;IYBTYBA;I fucking
1586;IYD;In Your Dreams
1587;IYDK;If You Didn’t Know
1588;IYDM;If You Don’t Mind
1589;IYF;In Your Face
1590;IYGM;If You Get Me
1591;IYH;In Your Head
1592;IYKWIM;If You Know What I Mean
1593;IYL;If You’re Lucky It’s Your Life
1594;IYO;In Your Opinion
1595;IYQ;   I like you 
1596;IYSS;If You Say So
1597;IYSWIM;If You See What I Mean
1598;IYTT;If You Think That
1599;IYW;If You Want/Will
1600;IYWW;I fucking
1602;J/K ; Just Kidding
1603;j00;You
1604;j00r;Your
1605;J4F/JFF ; Just For Fun
1606;JAC;Just a second
1607;JAF;Just A Friend
1608;JAFA;Just Another  fucking Aucklander
1609;JAM;Just a minute
1610;JAPAN;Just Always Pray At Night
1611;JAS;Just A Second
1612;JAT;Just A Thought
1613;JATQ;Just Answer The Question
1614;JB;Jail Bait Jonas Brothers
1615;JBH;Just Being Honest
1616;JBT;Jack-Booted Thug
1617;JBU;Just Between Us
1618;JBY;Just Be Yourself
1619;JC;Jesus Christ Just Curious Just Chilling
1620;JC (J/C);Just checking
1621;JCB;J C Bamford (excavator manufacturer)
1622;JD;Jack Daniel’s
1623;JDI;Just Do It
1624;JDLR;Just Doesn’t Look Right
1625;JDM;Japanese Domestic Market
1626;JELLY;jealous
1627;JFF;Just For Fun
1628;JFGI;Just * fucking* Google it
1629;JFN;Just For Now
1630;JFT;Just For Today
1631;JFTR;Just For The Record
1632;JFY;Just For You
1633;JFYI;(Just) For your Information
1634;JFYI;Just For Your Information
1635;JG;Juicy Gossip
1636;JGB;Just Got Back
1637;JGH;Just Got Home
1638;JGI;Just Google It
1639;JGL;Just Get Lost
1640;JHC;Jesus H Christ
1641;JHP;Jacketed Hollow Point (bullet)
1642;JIC;Just In Case
1643;JICYDK;Just In Case You Didn’t Know
1644;JJ;Just Joking
1645;JJA;Just joking around
1646;JK;Just Kidding
1647;JKD;Jeet Kune Do (Martial Art)
1648;JLMK;Just Let Me Know
1649;JLS;Jack the Lad Swing (band)
1650;JLT;Just like that
1651;JLUK;Just Letting You Know
1652;JLY;Jesus Loves You
1653;JLYK;Just Letting You Know
1654;JM;Just Messing
1655;JMA;Just Messing Around
1656;JMHO;Just My Humble Opinion
1657;JML;Just My Luck
1658;JMO;Just My Opinion
1659;JMS;Just Making Sure
1660;JMT;Just My Thoughts
1661;JN;Just Now
1662;JOOC;Just Out Of Curiosity
1663;JP;Just playing
1664;JPA;Just Playing Around
1666;JROTC;Junior Reserve O fucking Corps
1667;JRPG;Japanese Role Playing Game
1668;JS;Just Saying
1669;JSMN;Just Shoot Me Now
1670;JSP;Java Server Pages
1671;JSU;Just Shut Up
1672;JSYK;Just So You Know
1673;JT (J/T);Just teasing
1674;JTB;Just Too Bad
1675;JTC;Join The Club
1676;JTLYK;Just To Let You Know
1677;JTOL;Just Thinking Out Loud
1678;JTOY;Just Thinking Of You
1679;JTTY;Just To Tell You
1680;JTUSK;Just Thought You Should Know
1681;JUAD;Jumping Up And Down
1682;JV;Junior Varsity, amateur
1683;JW;Just Wondering
1684;JWAS;Just Wait And See
1685;JWD;Job Well Done
1686;JWG;Just a Wild Guess
1687;JWTK;Just Wanted To Know
1688;JWTLYK;Just Wanted To Let You Know
1689;JWU;Just Woke Up
1690;JWW;Just Was Wondering
1692;k/b;Keyboard
1693;K8T;Katie
1694;KAFM;Keep Away From Me
1695;KB;Keyboard
1696;KB;Kick butt  
1697;KCACO;Keep Calm And Carry On
1698;KCCO;Keep Calm and Chive On
1699;KD;Kraft Dinner
1700;KDFU;freak up
1701;KDR;Kill/Death Ratio
1702;KEWL;Cool
1703;KEYA;I will key you later
1704;KEYME;Key me when you get in
1705;KF;Kinda Funny
1706;KFC;Kentucky Fried Chicken
1707;KFY;Kiss for you
1708;KGB;Russian secret police
1709;KH;Kingdom Hearts ( )
1710;KHYF;Know How You Feel
1711;KIA;Know it all
1712;KICKS;Shoes Thrills
1713;KIG;Keep It Gangsta
1714;KIM;Keep It Moving
1715;KIO;Knock it off
1716;KIP;Sleep Bed
1717;KIR;Keep it real
1718;KIRF;Keeping It Real Fake
1719;KIS;Keep It Simple
1720;KISA;Knight In Shining Armour
1721;KISS;Keep It Simple, Stupid
1722;KIT;Keep In Touch
1723;KIU;Keep It Up
1724;KIV;Keep In View
1725;KK;Okay, Okay!
1726;KKK;Ku Klux Klan
1727;KKKK;Korean LOL
1728;KM;Keep Mum
1729;KMA;Kiss my *a*
1730;KMFC;Keeping My  fuckingers Crossed
1731;KMK;Kiss my keister
1732;KML;Killing Mysel fucking
1733;KMN;Kill Me Now
1734;KMP;Keep Me Posted
1735;KMS;Killing myself
1736;KMT;Kiss My Teeth
1737;KMT;Kiss my tushie
1738;KMU;Keep Me Updated
1739;KNIM;Know what I mean?
1740;KNOW;   knowledge 
1741;KOC;Kiss on cheek
1742;KOD;Kiss Of Death
1743;KOL;Key opinion leader
1744;Koreaboo;Someone obsessed with Korean culture
1745;KOS;Kill On Sight
1746;KOTC;Kiss On The Cheek
1747;KOTD;Kicks of the day (Instagram)
1748;KOTH;King of the Hill (game)
1749;KOTL;Kiss On The Lips
1750;KOTOR;Knights Of The Old Republic (Game)
1751;KOW;Knock on wood
1752;KP;Korean Pride
1753;KPC;Keep Parents Clueless
1754;KPG;Keep the Party Going
1755;KPI;Key Performance Indicator
1756;KR;Kind Regards
1757;KRO;Keep Right On
1758;KS;Kill Steal
1759;KSC;Kind (of) sort (of) chuckle
1760;KT;Katie
1761;KTBFFH;Keep The Blue  fucking High! (Chelsea FC Moto)
1762;KTBSPA;Keep The Backstreet Pride Alive
1763;KTF;Keep The Faith
1764;KUTGW;Keep up the good work
1765;KWIM;Know What I Mean?
1766;KWIS;Know What I’m Saying?
1767;KYFC;Keep Your  fuckingers Crossed
1768;KYO;Knock Yourself Out
1769;KYP;Keep You Posted
1770;KYS;Kill yourself
1771;L2G;Like to go?
1772;L2K;Like to come
1773;L2P;Learn to play
1774;l33t;Leet,   ‘elite’
1775;L4L;Like for like 
1776;L8 ; Late
1777;L8R;Later
1778;L8RG8R;Later, gator
1779;LAB;Life’s a *b*
